pair,side,signal_time,entry_time,exit_time,outcome,r
USD/CHF,LONG,2026-07-01 19:00:00,2026-07-01 23:00:00,2026-07-02 07:00:00,SL,-1.0174
USD/CAD,LONG,2026-07-01 19:00:00,2026-07-01 23:00:00,2026-07-02 11:00:00,SL,-1.0131
AUD/USD,SHORT,2026-07-01 19:00:00,2026-07-01 23:00:00,2026-07-02 11:00:00,SL,-1.0163
EUR/USD,SHORT,2026-07-06 11:00:00,2026-07-06 15:00:00,2026-07-09 15:00:00,TIME,-0.609
USD/CHF,LONG,2026-07-06 11:00:00,2026-07-06 15:00:00,2026-07-09 15:00:00,TIME,-0.0077
USD/CAD,LONG,2026-07-06 23:00:00,2026-07-07 03:00:00,2026-07-08 07:00:00,SL,-1.017
NZD/USD,SHORT,2026-07-07 15:00:00,2026-07-07 19:00:00,2026-07-08 03:00:00,SL,-1.0261
USD/JPY,LONG,2026-07-07 19:00:00,2026-07-07 23:00:00,2026-07-10 03:00:00,SL,-1.0106
AUD/USD,SHORT,2026-07-08 07:00:00,2026-07-08 11:00:00,2026-07-10 03:00:00,SL,-1.0177
EUR/USD,SHORT,2026-07-10 19:00:00,2026-07-10 23:00:00,2026-07-14 11:00:00,SL,-1.0163
USD/CHF,LONG,2026-07-10 19:00:00,2026-07-10 23:00:00,2026-07-15 19:00:00,SL,-1.0163
USD/CAD,SHORT,2026-07-13 23:00:00,2026-07-14 03:00:00,2026-07-15 19:00:00,TP,2.4869
USD/JPY,LONG,2026-07-16 11:00:00,2026-07-16 15:00:00,2026-07-21 15:00:00,TIME,1.3626
EUR/USD,LONG,2026-07-16 19:00:00,2026-07-16 23:00:00,2026-07-20 15:00:00,SL,-1.0147
USD/CHF,LONG,2026-07-17 03:00:00,2026-07-17 07:00:00,2026-07-22 07:00:00,TIME,0.6808
GBP/USD,LONG,2026-07-20 03:00:00,2026-07-20 07:00:00,2026-07-20 15:00:00,SL,-1.0129
AUD/USD,LONG,2026-07-21 23:00:00,2026-07-22 03:00:00,2026-07-22 11:00:00,SL,-1.0233
USD/JPY,LONG,2026-07-27 11:00:00,2026-07-27 15:00:00,2026-07-29 19:00:00,SL,-1.0129
USD/CAD,LONG,2026-07-28 19:00:00,2026-07-28 23:00:00,2026-07-29 19:00:00,SL,-1.016
NZD/USD,SHORT,2026-07-28 19:00:00,2026-07-28 23:00:00,2026-07-29 19:00:00,SL,-1.021
USD/CHF,LONG,2026-07-29 07:00:00,2026-07-29 11:00:00,2026-07-29 19:00:00,SL,-1.0144
